Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
e-lamp academic,OTHER_INDOOR,20-06-2023,21:00:13,02:21:29,,111,,,,,822,,,,,,,,,,,170.0,60.0,200,55,57,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,78,,,,,,,,,
,00:00:07,78,,,,,,,,,
,00:00:08,78,,,,,,,,,
,00:00:09,78,,,,,,,,,
,00:00:10,78,,,,,,,,,
,00:00:11,78,,,,,,,,,
,00:00:12,77,,,,,,,,,
,00:00:13,76,,,,,,,,,
,00:00:14,76,,,,,,,,,
,00:00:15,75,,,,,,,,,
,00:00:16,74,,,,,,,,,
,00:00:17,74,,,,,,,,,
,00:00:18,73,,,,,,,,,
,00:00:19,73,,,,,,,,,
,00:00:20,72,,,,,,,,,
,00:00:21,72,,,,,,,,,
,00:00:22,72,,,,,,,,,
,00:00:23,72,,,,,,,,,
,00:00:24,72,,,,,,,,,
,00:00:25,72,,,,,,,,,
,00:00:26,72,,,,,,,,,
,00:00:27,72,,,,,,,,,
,00:00:28,73,,,,,,,,,
,00:00:29,72,,,,,,,,,
,00:00:30,72,,,,,,,,,
,00:00:31,72,,,,,,,,,
,00:00:32,72,,,,,,,,,
,00:00:33,72,,,,,,,,,
,00:00:34,72,,,,,,,,,
,00:00:35,72,,,,,,,,,
,00:00:36,73,,,,,,,,,
,00:00:37,74,,,,,,,,,
,00:00:38,74,,,,,,,,,
,00:00:39,74,,,,,,,,,
,00:00:40,73,,,,,,,,,
,00:00:41,73,,,,,,,,,
,00:00:42,74,,,,,,,,,
,00:00:43,74,,,,,,,,,
,00:00:44,74,,,,,,,,,
,00:00:45,74,,,,,,,,,
,00:00:46,74,,,,,,,,,
,00:00:47,75,,,,,,,,,
,00:00:48,77,,,,,,,,,
,00:00:49,78,,,,,,,,,
,00:00:50,78,,,,,,,,,
,00:00:51,81,,,,,,,,,
,00:00:52,84,,,,,,,,,
,00:00:53,83,,,,,,,,,
,00:00:54,82,,,,,,,,,
,00:00:55,82,,,,,,,,,
,00:00:56,82,,,,,,,,,
,00:00:57,83,,,,,,,,,
,00:00:58,83,,,,,,,,,
,00:00:59,83,,,,,,,,,
,00:01:00,82,,,,,,,,,
,00:01:01,82,,,,,,,,,
,00:01:02,82,,,,,,,,,
,00:01:03,81,,,,,,,,,
,00:01:04,80,,,,,,,,,
,00:01:05,79,,,,,,,,,
,00:01:06,77,,,,,,,,,
,00:01:07,77,,,,,,,,,
,00:01:08,77,,,,,,,,,
,00:01:09,77,,,,,,,,,
,00:01:10,77,,,,,,,,,
,00:01:11,77,,,,,,,,,
,00:01:12,77,,,,,,,,,
,00:01:13,78,,,,,,,,,
,00:01:14,78,,,,,,,,,
,00:01:15,79,,,,,,,,,
,00:01:16,80,,,,,,,,,
,00:01:17,79,,,,,,,,,
,00:01:18,78,,,,,,,,,
,00:01:19,78,,,,,,,,,
,00:01:20,78,,,,,,,,,
,00:01:21,78,,,,,,,,,
,00:01:22,77,,,,,,,,,
,00:01:23,78,,,,,,,,,
,00:01:24,78,,,,,,,,,
,00:01:25,78,,,,,,,,,
,00:01:26,78,,,,,,,,,
,00:01:27,78,,,,,,,,,
,00:01:28,78,,,,,,,,,
,00:01:29,78,,,,,,,,,
,00:01:30,78,,,,,,,,,
,00:01:31,78,,,,,,,,,
,00:01:32,78,,,,,,,,,
,00:01:33,78,,,,,,,,,
,00:01:34,78,,,,,,,,,
,00:01:35,77,,,,,,,,,
,00:01:36,77,,,,,,,,,
,00:01:37,77,,,,,,,,,
,00:01:38,77,,,,,,,,,
,00:01:39,76,,,,,,,,,
,00:01:40,76,,,,,,,,,
,00:01:41,76,,,,,,,,,
,00:01:42,75,,,,,,,,,
,00:01:43,75,,,,,,,,,
,00:01:44,75,,,,,,,,,
,00:01:45,75,,,,,,,,,
,00:01:46,75,,,,,,,,,
,00:01:47,76,,,,,,,,,
,00:01:48,76,,,,,,,,,
,00:01:49,76,,,,,,,,,
,00:01:50,76,,,,,,,,,
,00:01:51,76,,,,,,,,,
,00:01:52,76,,,,,,,,,
,00:01:53,76,,,,,,,,,
,00:01:54,76,,,,,,,,,
,00:01:55,75,,,,,,,,,
,00:01:56,75,,,,,,,,,
,00:01:57,75,,,,,,,,,
,00:01:58,74,,,,,,,,,
,00:01:59,74,,,,,,,,,
,00:02:00,74,,,,,,,,,
,00:02:01,74,,,,,,,,,
,00:02:02,74,,,,,,,,,
,00:02:03,73,,,,,,,,,
,00:02:04,73,,,,,,,,,
,00:02:05,72,,,,,,,,,
,00:02:06,70,,,,,,,,,
,00:02:07,70,,,,,,,,,
,00:02:08,70,,,,,,,,,
,00:02:09,71,,,,,,,,,
,00:02:10,71,,,,,,,,,
,00:02:11,71,,,,,,,,,
,00:02:12,70,,,,,,,,,
,00:02:13,70,,,,,,,,,
,00:02:14,70,,,,,,,,,
,00:02:15,69,,,,,,,,,
,00:02:16,68,,,,,,,,,
,00:02:17,66,,,,,,,,,
,00:02:18,65,,,,,,,,,
,00:02:19,65,,,,,,,,,
,00:02:20,65,,,,,,,,,
,00:02:21,65,,,,,,,,,
,00:02:22,65,,,,,,,,,
,00:02:23,65,,,,,,,,,
,00:02:24,65,,,,,,,,,
,00:02:25,65,,,,,,,,,
,00:02:26,65,,,,,,,,,
,00:02:27,64,,,,,,,,,
,00:02:28,64,,,,,,,,,
,00:02:29,65,,,,,,,,,
,00:02:30,65,,,,,,,,,
,00:02:31,65,,,,,,,,,
,00:02:32,65,,,,,,,,,
,00:02:33,65,,,,,,,,,
,00:02:34,65,,,,,,,,,
,00:02:35,65,,,,,,,,,
,00:02:36,65,,,,,,,,,
,00:02:37,65,,,,,,,,,
,00:02:38,65,,,,,,,,,
,00:02:39,65,,,,,,,,,
,00:02:40,65,,,,,,,,,
,00:02:41,66,,,,,,,,,
,00:02:42,66,,,,,,,,,
,00:02:43,66,,,,,,,,,
