Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
e-lamp academic,OTHER_INDOOR,21-06-2023,21:20:29,02:00:41,,74,,,,,183,,,,,,,,,,,170.0,60.0,200,55,57,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,,,,,,,,,,
,00:00:07,80,,,,,,,,,
,00:00:08,80,,,,,,,,,
,00:00:09,80,,,,,,,,,
,00:00:10,80,,,,,,,,,
,00:00:11,81,,,,,,,,,
,00:00:12,81,,,,,,,,,
,00:00:13,81,,,,,,,,,
,00:00:14,82,,,,,,,,,
,00:00:15,82,,,,,,,,,
,00:00:16,82,,,,,,,,,
,00:00:17,82,,,,,,,,,
,00:00:18,82,,,,,,,,,
,00:00:19,82,,,,,,,,,
,00:00:20,81,,,,,,,,,
,00:00:21,81,,,,,,,,,
,00:00:22,81,,,,,,,,,
,00:00:23,81,,,,,,,,,
,00:00:24,80,,,,,,,,,
,00:00:25,80,,,,,,,,,
,00:00:26,81,,,,,,,,,
,00:00:27,81,,,,,,,,,
,00:00:28,81,,,,,,,,,
,00:00:29,81,,,,,,,,,
,00:00:30,81,,,,,,,,,
,00:00:31,81,,,,,,,,,
,00:00:32,81,,,,,,,,,
,00:00:33,81,,,,,,,,,
,00:00:34,82,,,,,,,,,
,00:00:35,83,,,,,,,,,
,00:00:36,83,,,,,,,,,
,00:00:37,83,,,,,,,,,
,00:00:38,83,,,,,,,,,
,00:00:39,83,,,,,,,,,
,00:00:40,83,,,,,,,,,
,00:00:41,83,,,,,,,,,
,00:00:42,83,,,,,,,,,
,00:00:43,84,,,,,,,,,
,00:00:44,84,,,,,,,,,
,00:00:45,85,,,,,,,,,
,00:00:46,85,,,,,,,,,
,00:00:47,85,,,,,,,,,
,00:00:48,85,,,,,,,,,
,00:00:49,84,,,,,,,,,
,00:00:50,84,,,,,,,,,
,00:00:51,84,,,,,,,,,
,00:00:52,84,,,,,,,,,
,00:00:53,84,,,,,,,,,
,00:00:54,85,,,,,,,,,
,00:00:55,86,,,,,,,,,
,00:00:56,87,,,,,,,,,
,00:00:57,87,,,,,,,,,
,00:00:58,88,,,,,,,,,
,00:00:59,89,,,,,,,,,
,00:01:00,91,,,,,,,,,
,00:01:01,91,,,,,,,,,
,00:01:02,92,,,,,,,,,
,00:01:03,94,,,,,,,,,
,00:01:04,95,,,,,,,,,
,00:01:05,95,,,,,,,,,
,00:01:06,94,,,,,,,,,
,00:01:07,93,,,,,,,,,
,00:01:08,93,,,,,,,,,
,00:01:09,93,,,,,,,,,
,00:01:10,92,,,,,,,,,
,00:01:11,92,,,,,,,,,
,00:01:12,91,,,,,,,,,
,00:01:13,90,,,,,,,,,
,00:01:14,87,,,,,,,,,
,00:01:15,83,,,,,,,,,
,00:01:16,82,,,,,,,,,
,00:01:17,82,,,,,,,,,
,00:01:18,81,,,,,,,,,
,00:01:19,81,,,,,,,,,
,00:01:20,82,,,,,,,,,
,00:01:21,82,,,,,,,,,
,00:01:22,83,,,,,,,,,
,00:01:23,84,,,,,,,,,
,00:01:24,85,,,,,,,,,
,00:01:25,86,,,,,,,,,
,00:01:26,87,,,,,,,,,
,00:01:27,91,,,,,,,,,
,00:01:28,92,,,,,,,,,
,00:01:29,92,,,,,,,,,
,00:01:30,94,,,,,,,,,
,00:01:31,96,,,,,,,,,
,00:01:32,96,,,,,,,,,
,00:01:33,96,,,,,,,,,
,00:01:34,96,,,,,,,,,
,00:01:35,96,,,,,,,,,
,00:01:36,95,,,,,,,,,
,00:01:37,95,,,,,,,,,
,00:01:38,95,,,,,,,,,
,00:01:39,93,,,,,,,,,
,00:01:40,92,,,,,,,,,
,00:01:41,92,,,,,,,,,
,00:01:42,91,,,,,,,,,
,00:01:43,89,,,,,,,,,
,00:01:44,89,,,,,,,,,
,00:01:45,88,,,,,,,,,
,00:01:46,87,,,,,,,,,
,00:01:47,87,,,,,,,,,
,00:01:48,86,,,,,,,,,
,00:01:49,86,,,,,,,,,
,00:01:50,86,,,,,,,,,
,00:01:51,86,,,,,,,,,
,00:01:52,86,,,,,,,,,
,00:01:53,85,,,,,,,,,
,00:01:54,84,,,,,,,,,
,00:01:55,84,,,,,,,,,
,00:01:56,83,,,,,,,,,
,00:01:57,82,,,,,,,,,
,00:01:58,82,,,,,,,,,
,00:01:59,82,,,,,,,,,
,00:02:00,82,,,,,,,,,
,00:02:01,83,,,,,,,,,
,00:02:02,83,,,,,,,,,
,00:02:03,83,,,,,,,,,
,00:02:04,84,,,,,,,,,
,00:02:05,85,,,,,,,,,
,00:02:06,85,,,,,,,,,
,00:02:07,86,,,,,,,,,
,00:02:08,86,,,,,,,,,
,00:02:09,86,,,,,,,,,
,00:02:10,85,,,,,,,,,
,00:02:11,85,,,,,,,,,
,00:02:12,85,,,,,,,,,
,00:02:13,85,,,,,,,,,
,00:02:14,85,,,,,,,,,
,00:02:15,85,,,,,,,,,
,00:02:16,86,,,,,,,,,
,00:02:17,86,,,,,,,,,
,00:02:18,86,,,,,,,,,
,00:02:19,87,,,,,,,,,
,00:02:20,87,,,,,,,,,
,00:02:21,87,,,,,,,,,
,00:02:22,87,,,,,,,,,
,00:02:23,87,,,,,,,,,
,00:02:24,87,,,,,,,,,
,00:02:25,86,,,,,,,,,
,00:02:26,86,,,,,,,,,
,00:02:27,86,,,,,,,,,
,00:02:28,86,,,,,,,,,
,00:02:29,85,,,,,,,,,
,00:02:30,85,,,,,,,,,
,00:02:31,84,,,,,,,,,
,00:02:32,84,,,,,,,,,
,00:02:33,84,,,,,,,,,
,00:02:34,83,,,,,,,,,
,00:02:35,83,,,,,,,,,
,00:02:36,83,,,,,,,,,
,00:02:37,83,,,,,,,,,
,00:02:38,82,,,,,,,,,
,00:02:39,82,,,,,,,,,
,00:02:40,81,,,,,,,,,
,00:02:41,81,,,,,,,,,
,00:02:42,81,,,,,,,,,
,00:02:43,80,,,,,,,,,
