Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
e-lamp academic,OTHER_INDOOR,21-06-2023,21:33:48,01:48:17,,93,,,,,399,,,,,,,,,,,170.0,60.0,200,55,57,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,,,,,,,,,,
,00:00:07,62,,,,,,,,,
,00:00:08,62,,,,,,,,,
,00:00:09,62,,,,,,,,,
,00:00:10,62,,,,,,,,,
,00:00:11,62,,,,,,,,,
,00:00:12,62,,,,,,,,,
,00:00:13,62,,,,,,,,,
,00:00:14,62,,,,,,,,,
,00:00:15,63,,,,,,,,,
,00:00:16,64,,,,,,,,,
,00:00:17,65,,,,,,,,,
,00:00:18,66,,,,,,,,,
,00:00:19,66,,,,,,,,,
,00:00:20,68,,,,,,,,,
,00:00:21,69,,,,,,,,,
,00:00:22,70,,,,,,,,,
,00:00:23,70,,,,,,,,,
,00:00:24,71,,,,,,,,,
,00:00:25,71,,,,,,,,,
,00:00:26,71,,,,,,,,,
,00:00:27,71,,,,,,,,,
,00:00:28,71,,,,,,,,,
,00:00:29,71,,,,,,,,,
,00:00:30,71,,,,,,,,,
,00:00:31,71,,,,,,,,,
,00:00:32,71,,,,,,,,,
,00:00:33,72,,,,,,,,,
,00:00:34,72,,,,,,,,,
,00:00:35,72,,,,,,,,,
,00:00:36,72,,,,,,,,,
,00:00:37,73,,,,,,,,,
,00:00:38,73,,,,,,,,,
,00:00:39,73,,,,,,,,,
,00:00:40,73,,,,,,,,,
,00:00:41,73,,,,,,,,,
,00:00:42,73,,,,,,,,,
,00:00:43,73,,,,,,,,,
,00:00:44,74,,,,,,,,,
,00:00:45,75,,,,,,,,,
,00:00:46,76,,,,,,,,,
,00:00:47,76,,,,,,,,,
,00:00:48,77,,,,,,,,,
,00:00:49,77,,,,,,,,,
,00:00:50,76,,,,,,,,,
,00:00:51,77,,,,,,,,,
,00:00:52,77,,,,,,,,,
,00:00:53,77,,,,,,,,,
,00:00:54,78,,,,,,,,,
,00:00:55,78,,,,,,,,,
,00:00:56,79,,,,,,,,,
,00:00:57,80,,,,,,,,,
,00:00:58,80,,,,,,,,,
,00:00:59,81,,,,,,,,,
,00:01:00,82,,,,,,,,,
,00:01:01,83,,,,,,,,,
,00:01:02,84,,,,,,,,,
,00:01:03,84,,,,,,,,,
,00:01:04,84,,,,,,,,,
,00:01:05,85,,,,,,,,,
,00:01:06,84,,,,,,,,,
,00:01:07,83,,,,,,,,,
,00:01:08,83,,,,,,,,,
,00:01:09,82,,,,,,,,,
,00:01:10,82,,,,,,,,,
,00:01:11,81,,,,,,,,,
,00:01:12,81,,,,,,,,,
,00:01:13,80,,,,,,,,,
,00:01:14,79,,,,,,,,,
,00:01:15,79,,,,,,,,,
,00:01:16,78,,,,,,,,,
,00:01:17,77,,,,,,,,,
,00:01:18,76,,,,,,,,,
,00:01:19,76,,,,,,,,,
,00:01:20,76,,,,,,,,,
,00:01:21,76,,,,,,,,,
,00:01:22,76,,,,,,,,,
,00:01:23,76,,,,,,,,,
,00:01:24,77,,,,,,,,,
,00:01:25,77,,,,,,,,,
,00:01:26,78,,,,,,,,,
,00:01:27,79,,,,,,,,,
,00:01:28,80,,,,,,,,,
,00:01:29,82,,,,,,,,,
,00:01:30,82,,,,,,,,,
,00:01:31,82,,,,,,,,,
,00:01:32,82,,,,,,,,,
,00:01:33,81,,,,,,,,,
,00:01:34,80,,,,,,,,,
,00:01:35,79,,,,,,,,,
,00:01:36,78,,,,,,,,,
,00:01:37,78,,,,,,,,,
,00:01:38,77,,,,,,,,,
,00:01:39,74,,,,,,,,,
,00:01:40,73,,,,,,,,,
,00:01:41,72,,,,,,,,,
,00:01:42,71,,,,,,,,,
,00:01:43,70,,,,,,,,,
,00:01:44,70,,,,,,,,,
,00:01:45,70,,,,,,,,,
,00:01:46,70,,,,,,,,,
,00:01:47,70,,,,,,,,,
,00:01:48,70,,,,,,,,,
,00:01:49,70,,,,,,,,,
,00:01:50,70,,,,,,,,,
,00:01:51,71,,,,,,,,,
,00:01:52,72,,,,,,,,,
,00:01:53,72,,,,,,,,,
,00:01:54,72,,,,,,,,,
,00:01:55,73,,,,,,,,,
,00:01:56,72,,,,,,,,,
,00:01:57,72,,,,,,,,,
,00:01:58,72,,,,,,,,,
,00:01:59,72,,,,,,,,,
,00:02:00,72,,,,,,,,,
,00:02:01,72,,,,,,,,,
,00:02:02,72,,,,,,,,,
,00:02:03,72,,,,,,,,,
,00:02:04,72,,,,,,,,,
,00:02:05,72,,,,,,,,,
,00:02:06,72,,,,,,,,,
,00:02:07,72,,,,,,,,,
,00:02:08,71,,,,,,,,,
,00:02:09,71,,,,,,,,,
,00:02:10,71,,,,,,,,,
,00:02:11,71,,,,,,,,,
,00:02:12,71,,,,,,,,,
,00:02:13,71,,,,,,,,,
,00:02:14,71,,,,,,,,,
,00:02:15,71,,,,,,,,,
,00:02:16,71,,,,,,,,,
,00:02:17,71,,,,,,,,,
,00:02:18,71,,,,,,,,,
,00:02:19,71,,,,,,,,,
,00:02:20,71,,,,,,,,,
,00:02:21,71,,,,,,,,,
,00:02:22,71,,,,,,,,,
,00:02:23,70,,,,,,,,,
,00:02:24,70,,,,,,,,,
,00:02:25,69,,,,,,,,,
,00:02:26,68,,,,,,,,,
,00:02:27,68,,,,,,,,,
,00:02:28,68,,,,,,,,,
,00:02:29,67,,,,,,,,,
,00:02:30,67,,,,,,,,,
,00:02:31,67,,,,,,,,,
,00:02:32,67,,,,,,,,,
,00:02:33,67,,,,,,,,,
,00:02:34,67,,,,,,,,,
,00:02:35,68,,,,,,,,,
,00:02:36,68,,,,,,,,,
,00:02:37,69,,,,,,,,,
,00:02:38,69,,,,,,,,,
,00:02:39,69,,,,,,,,,
,00:02:40,69,,,,,,,,,
,00:02:41,68,,,,,,,,,
,00:02:42,68,,,,,,,,,
,00:02:43,68,,,,,,,,,
