Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
e-lamp academic,OTHER_INDOOR,20-06-2023,22:06:53,01:15:01,,126,,,,,528,,,,,,,,,,,170.0,60.0,200,55,57,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,90,,,,,,,,,
,00:00:07,90,,,,,,,,,
,00:00:08,90,,,,,,,,,
,00:00:09,90,,,,,,,,,
,00:00:10,89,,,,,,,,,
,00:00:11,89,,,,,,,,,
,00:00:12,89,,,,,,,,,
,00:00:13,89,,,,,,,,,
,00:00:14,89,,,,,,,,,
,00:00:15,90,,,,,,,,,
,00:00:16,90,,,,,,,,,
,00:00:17,90,,,,,,,,,
,00:00:18,90,,,,,,,,,
,00:00:19,90,,,,,,,,,
,00:00:20,90,,,,,,,,,
,00:00:21,91,,,,,,,,,
,00:00:22,91,,,,,,,,,
,00:00:23,92,,,,,,,,,
,00:00:24,92,,,,,,,,,
,00:00:25,92,,,,,,,,,
,00:00:26,92,,,,,,,,,
,00:00:27,92,,,,,,,,,
,00:00:28,92,,,,,,,,,
,00:00:29,92,,,,,,,,,
,00:00:30,91,,,,,,,,,
,00:00:31,91,,,,,,,,,
,00:00:32,91,,,,,,,,,
,00:00:33,91,,,,,,,,,
,00:00:34,90,,,,,,,,,
,00:00:35,89,,,,,,,,,
,00:00:36,89,,,,,,,,,
,00:00:37,88,,,,,,,,,
,00:00:38,88,,,,,,,,,
,00:00:39,88,,,,,,,,,
,00:00:40,88,,,,,,,,,
,00:00:41,88,,,,,,,,,
,00:00:42,88,,,,,,,,,
,00:00:43,89,,,,,,,,,
,00:00:44,89,,,,,,,,,
,00:00:45,89,,,,,,,,,
,00:00:46,88,,,,,,,,,
,00:00:47,88,,,,,,,,,
,00:00:48,88,,,,,,,,,
,00:00:49,88,,,,,,,,,
,00:00:50,88,,,,,,,,,
,00:00:51,87,,,,,,,,,
,00:00:52,87,,,,,,,,,
,00:00:53,87,,,,,,,,,
,00:00:54,87,,,,,,,,,
,00:00:55,87,,,,,,,,,
,00:00:56,87,,,,,,,,,
,00:00:57,87,,,,,,,,,
,00:00:58,87,,,,,,,,,
,00:00:59,87,,,,,,,,,
,00:01:00,87,,,,,,,,,
,00:01:01,87,,,,,,,,,
,00:01:02,87,,,,,,,,,
,00:01:03,88,,,,,,,,,
,00:01:04,88,,,,,,,,,
,00:01:05,88,,,,,,,,,
,00:01:06,88,,,,,,,,,
,00:01:07,88,,,,,,,,,
,00:01:08,88,,,,,,,,,
,00:01:09,87,,,,,,,,,
,00:01:10,87,,,,,,,,,
,00:01:11,87,,,,,,,,,
,00:01:12,87,,,,,,,,,
,00:01:13,87,,,,,,,,,
,00:01:14,87,,,,,,,,,
,00:01:15,87,,,,,,,,,
,00:01:16,87,,,,,,,,,
,00:01:17,87,,,,,,,,,
,00:01:18,87,,,,,,,,,
,00:01:19,87,,,,,,,,,
,00:01:20,88,,,,,,,,,
,00:01:21,88,,,,,,,,,
,00:01:22,88,,,,,,,,,
,00:01:23,88,,,,,,,,,
,00:01:24,88,,,,,,,,,
,00:01:25,88,,,,,,,,,
,00:01:26,88,,,,,,,,,
,00:01:27,87,,,,,,,,,
,00:01:28,87,,,,,,,,,
,00:01:29,87,,,,,,,,,
,00:01:30,87,,,,,,,,,
,00:01:31,86,,,,,,,,,
,00:01:32,86,,,,,,,,,
,00:01:33,86,,,,,,,,,
,00:01:34,88,,,,,,,,,
,00:01:35,88,,,,,,,,,
,00:01:36,88,,,,,,,,,
,00:01:37,88,,,,,,,,,
,00:01:38,88,,,,,,,,,
,00:01:39,88,,,,,,,,,
,00:01:40,88,,,,,,,,,
,00:01:41,88,,,,,,,,,
,00:01:42,88,,,,,,,,,
,00:01:43,87,,,,,,,,,
,00:01:44,87,,,,,,,,,
,00:01:45,87,,,,,,,,,
,00:01:46,87,,,,,,,,,
,00:01:47,87,,,,,,,,,
,00:01:48,87,,,,,,,,,
,00:01:49,87,,,,,,,,,
,00:01:50,87,,,,,,,,,
,00:01:51,87,,,,,,,,,
,00:01:52,87,,,,,,,,,
,00:01:53,87,,,,,,,,,
,00:01:54,87,,,,,,,,,
,00:01:55,88,,,,,,,,,
,00:01:56,88,,,,,,,,,
,00:01:57,88,,,,,,,,,
,00:01:58,88,,,,,,,,,
,00:01:59,89,,,,,,,,,
,00:02:00,89,,,,,,,,,
,00:02:01,88,,,,,,,,,
,00:02:02,88,,,,,,,,,
,00:02:03,88,,,,,,,,,
,00:02:04,88,,,,,,,,,
,00:02:05,88,,,,,,,,,
,00:02:06,88,,,,,,,,,
,00:02:07,88,,,,,,,,,
,00:02:08,88,,,,,,,,,
,00:02:09,88,,,,,,,,,
,00:02:10,88,,,,,,,,,
,00:02:11,88,,,,,,,,,
,00:02:12,88,,,,,,,,,
,00:02:13,88,,,,,,,,,
,00:02:14,88,,,,,,,,,
,00:02:15,88,,,,,,,,,
,00:02:16,89,,,,,,,,,
,00:02:17,89,,,,,,,,,
,00:02:18,89,,,,,,,,,
,00:02:19,89,,,,,,,,,
,00:02:20,90,,,,,,,,,
,00:02:21,89,,,,,,,,,
,00:02:22,89,,,,,,,,,
,00:02:23,89,,,,,,,,,
,00:02:24,89,,,,,,,,,
,00:02:25,89,,,,,,,,,
,00:02:26,89,,,,,,,,,
,00:02:27,89,,,,,,,,,
,00:02:28,89,,,,,,,,,
,00:02:29,,,,,,,,,,
,00:02:30,,,,,,,,,,
,00:02:31,,,,,,,,,,
,00:02:32,,,,,,,,,,
,00:02:33,,,,,,,,,,
,00:02:34,,,,,,,,,,
,00:02:35,,,,,,,,,,
,00:02:36,,,,,,,,,,
,00:02:37,,,,,,,,,,
,00:02:38,,,,,,,,,,
,00:02:39,,,,,,,,,,
,00:02:40,,,,,,,,,,
,00:02:41,,,,,,,,,,
,00:02:42,,,,,,,,,,
,00:02:43,,,,,,,,,,
,00:02:44,,,,,,,,,,
