Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
e-lamp academic,OTHER_INDOOR,20-06-2023,22:06:20,01:28:46,,60,,,,,169,,,,,,,,,,,170.0,60.0,200,55,57,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,,,,,,,,,,
,00:00:07,87,,,,,,,,,
,00:00:08,87,,,,,,,,,
,00:00:09,86,,,,,,,,,
,00:00:10,86,,,,,,,,,
,00:00:11,86,,,,,,,,,
,00:00:12,86,,,,,,,,,
,00:00:13,86,,,,,,,,,
,00:00:14,86,,,,,,,,,
,00:00:15,85,,,,,,,,,
,00:00:16,85,,,,,,,,,
,00:00:17,84,,,,,,,,,
,00:00:18,84,,,,,,,,,
,00:00:19,84,,,,,,,,,
,00:00:20,84,,,,,,,,,
,00:00:21,84,,,,,,,,,
,00:00:22,83,,,,,,,,,
,00:00:23,83,,,,,,,,,
,00:00:24,83,,,,,,,,,
,00:00:25,83,,,,,,,,,
,00:00:26,83,,,,,,,,,
,00:00:27,83,,,,,,,,,
,00:00:28,84,,,,,,,,,
,00:00:29,84,,,,,,,,,
,00:00:30,84,,,,,,,,,
,00:00:31,84,,,,,,,,,
,00:00:32,84,,,,,,,,,
,00:00:33,84,,,,,,,,,
,00:00:34,84,,,,,,,,,
,00:00:35,84,,,,,,,,,
,00:00:36,84,,,,,,,,,
,00:00:37,84,,,,,,,,,
,00:00:38,84,,,,,,,,,
,00:00:39,83,,,,,,,,,
,00:00:40,83,,,,,,,,,
,00:00:41,83,,,,,,,,,
,00:00:42,84,,,,,,,,,
,00:00:43,84,,,,,,,,,
,00:00:44,84,,,,,,,,,
,00:00:45,84,,,,,,,,,
,00:00:46,84,,,,,,,,,
,00:00:47,84,,,,,,,,,
,00:00:48,84,,,,,,,,,
,00:00:49,84,,,,,,,,,
,00:00:50,84,,,,,,,,,
,00:00:51,84,,,,,,,,,
,00:00:52,84,,,,,,,,,
,00:00:53,84,,,,,,,,,
,00:00:54,84,,,,,,,,,
,00:00:55,84,,,,,,,,,
,00:00:56,84,,,,,,,,,
,00:00:57,84,,,,,,,,,
,00:00:58,84,,,,,,,,,
,00:00:59,84,,,,,,,,,
,00:01:00,85,,,,,,,,,
,00:01:01,85,,,,,,,,,
,00:01:02,85,,,,,,,,,
,00:01:03,85,,,,,,,,,
,00:01:04,85,,,,,,,,,
,00:01:05,85,,,,,,,,,
,00:01:06,84,,,,,,,,,
,00:01:07,84,,,,,,,,,
,00:01:08,84,,,,,,,,,
,00:01:09,84,,,,,,,,,
,00:01:10,84,,,,,,,,,
,00:01:11,84,,,,,,,,,
,00:01:12,83,,,,,,,,,
,00:01:13,84,,,,,,,,,
,00:01:14,84,,,,,,,,,
,00:01:15,84,,,,,,,,,
,00:01:16,84,,,,,,,,,
,00:01:17,84,,,,,,,,,
,00:01:18,84,,,,,,,,,
,00:01:19,84,,,,,,,,,
,00:01:20,84,,,,,,,,,
,00:01:21,83,,,,,,,,,
,00:01:22,83,,,,,,,,,
,00:01:23,83,,,,,,,,,
,00:01:24,83,,,,,,,,,
,00:01:25,83,,,,,,,,,
,00:01:26,82,,,,,,,,,
,00:01:27,82,,,,,,,,,
,00:01:28,82,,,,,,,,,
,00:01:29,82,,,,,,,,,
,00:01:30,81,,,,,,,,,
,00:01:31,81,,,,,,,,,
,00:01:32,81,,,,,,,,,
,00:01:33,81,,,,,,,,,
,00:01:34,81,,,,,,,,,
,00:01:35,81,,,,,,,,,
,00:01:36,81,,,,,,,,,
,00:01:37,81,,,,,,,,,
,00:01:38,80,,,,,,,,,
,00:01:39,80,,,,,,,,,
,00:01:40,80,,,,,,,,,
,00:01:41,80,,,,,,,,,
,00:01:42,80,,,,,,,,,
,00:01:43,80,,,,,,,,,
,00:01:44,80,,,,,,,,,
,00:01:45,80,,,,,,,,,
,00:01:46,79,,,,,,,,,
,00:01:47,80,,,,,,,,,
,00:01:48,80,,,,,,,,,
,00:01:49,80,,,,,,,,,
,00:01:50,80,,,,,,,,,
,00:01:51,80,,,,,,,,,
,00:01:52,80,,,,,,,,,
,00:01:53,80,,,,,,,,,
,00:01:54,80,,,,,,,,,
,00:01:55,80,,,,,,,,,
,00:01:56,80,,,,,,,,,
,00:01:57,80,,,,,,,,,
,00:01:58,79,,,,,,,,,
,00:01:59,79,,,,,,,,,
,00:02:00,77,,,,,,,,,
,00:02:01,77,,,,,,,,,
,00:02:02,77,,,,,,,,,
,00:02:03,77,,,,,,,,,
,00:02:04,77,,,,,,,,,
,00:02:05,76,,,,,,,,,
,00:02:06,76,,,,,,,,,
,00:02:07,78,,,,,,,,,
,00:02:08,80,,,,,,,,,
,00:02:09,80,,,,,,,,,
,00:02:10,80,,,,,,,,,
,00:02:11,81,,,,,,,,,
,00:02:12,81,,,,,,,,,
,00:02:13,81,,,,,,,,,
,00:02:14,81,,,,,,,,,
,00:02:15,81,,,,,,,,,
,00:02:16,81,,,,,,,,,
,00:02:17,81,,,,,,,,,
,00:02:18,81,,,,,,,,,
,00:02:19,81,,,,,,,,,
,00:02:20,81,,,,,,,,,
,00:02:21,81,,,,,,,,,
,00:02:22,81,,,,,,,,,
,00:02:23,81,,,,,,,,,
,00:02:24,81,,,,,,,,,
,00:02:25,81,,,,,,,,,
,00:02:26,81,,,,,,,,,
,00:02:27,81,,,,,,,,,
,00:02:28,81,,,,,,,,,
,00:02:29,81,,,,,,,,,
,00:02:30,81,,,,,,,,,
,00:02:31,81,,,,,,,,,
,00:02:32,81,,,,,,,,,
,00:02:33,81,,,,,,,,,
,00:02:34,81,,,,,,,,,
,00:02:35,81,,,,,,,,,
,00:02:36,81,,,,,,,,,
,00:02:37,,,,,,,,,,
,00:02:38,,,,,,,,,,
,00:02:39,,,,,,,,,,
,00:02:40,,,,,,,,,,
,00:02:41,,,,,,,,,,
,00:02:42,,,,,,,,,,
,00:02:43,,,,,,,,,,
