Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
e-lamp academic,OTHER_INDOOR,20-06-2023,21:00:28,02:21:05,,88,,,,,463,,,,,,,,,,,170.0,60.0,200,55,57,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,,,,,,,,,,
,00:00:07,,,,,,,,,,
,00:00:08,,,,,,,,,,
,00:00:09,,,,,,,,,,
,00:00:10,,,,,,,,,,
,00:00:11,99,,,,,,,,,
,00:00:12,99,,,,,,,,,
,00:00:13,99,,,,,,,,,
,00:00:14,99,,,,,,,,,
,00:00:15,99,,,,,,,,,
,00:00:16,99,,,,,,,,,
,00:00:17,98,,,,,,,,,
,00:00:18,98,,,,,,,,,
,00:00:19,98,,,,,,,,,
,00:00:20,98,,,,,,,,,
,00:00:21,97,,,,,,,,,
,00:00:22,97,,,,,,,,,
,00:00:23,97,,,,,,,,,
,00:00:24,96,,,,,,,,,
,00:00:25,96,,,,,,,,,
,00:00:26,96,,,,,,,,,
,00:00:27,96,,,,,,,,,
,00:00:28,95,,,,,,,,,
,00:00:29,95,,,,,,,,,
,00:00:30,94,,,,,,,,,
,00:00:31,94,,,,,,,,,
,00:00:32,94,,,,,,,,,
,00:00:33,93,,,,,,,,,
,00:00:34,93,,,,,,,,,
,00:00:35,93,,,,,,,,,
,00:00:36,93,,,,,,,,,
,00:00:37,93,,,,,,,,,
,00:00:38,93,,,,,,,,,
,00:00:39,93,,,,,,,,,
,00:00:40,93,,,,,,,,,
,00:00:41,93,,,,,,,,,
,00:00:42,93,,,,,,,,,
,00:00:43,93,,,,,,,,,
,00:00:44,92,,,,,,,,,
,00:00:45,92,,,,,,,,,
,00:00:46,92,,,,,,,,,
,00:00:47,92,,,,,,,,,
,00:00:48,92,,,,,,,,,
,00:00:49,92,,,,,,,,,
,00:00:50,92,,,,,,,,,
,00:00:51,92,,,,,,,,,
,00:00:52,92,,,,,,,,,
,00:00:53,92,,,,,,,,,
,00:00:54,91,,,,,,,,,
,00:00:55,91,,,,,,,,,
,00:00:56,91,,,,,,,,,
,00:00:57,91,,,,,,,,,
,00:00:58,90,,,,,,,,,
,00:00:59,90,,,,,,,,,
,00:01:00,90,,,,,,,,,
,00:01:01,90,,,,,,,,,
,00:01:02,90,,,,,,,,,
,00:01:03,90,,,,,,,,,
,00:01:04,89,,,,,,,,,
,00:01:05,89,,,,,,,,,
,00:01:06,89,,,,,,,,,
,00:01:07,88,,,,,,,,,
,00:01:08,87,,,,,,,,,
,00:01:09,88,,,,,,,,,
,00:01:10,88,,,,,,,,,
,00:01:11,88,,,,,,,,,
,00:01:12,89,,,,,,,,,
,00:01:13,89,,,,,,,,,
,00:01:14,89,,,,,,,,,
,00:01:15,88,,,,,,,,,
,00:01:16,88,,,,,,,,,
,00:01:17,88,,,,,,,,,
,00:01:18,87,,,,,,,,,
,00:01:19,86,,,,,,,,,
,00:01:20,86,,,,,,,,,
,00:01:21,85,,,,,,,,,
,00:01:22,85,,,,,,,,,
,00:01:23,84,,,,,,,,,
,00:01:24,84,,,,,,,,,
,00:01:25,84,,,,,,,,,
,00:01:26,83,,,,,,,,,
,00:01:27,82,,,,,,,,,
,00:01:28,83,,,,,,,,,
,00:01:29,83,,,,,,,,,
,00:01:30,84,,,,,,,,,
,00:01:31,84,,,,,,,,,
,00:01:32,85,,,,,,,,,
,00:01:33,85,,,,,,,,,
,00:01:34,85,,,,,,,,,
,00:01:35,86,,,,,,,,,
,00:01:36,85,,,,,,,,,
,00:01:37,85,,,,,,,,,
,00:01:38,85,,,,,,,,,
,00:01:39,85,,,,,,,,,
,00:01:40,85,,,,,,,,,
,00:01:41,85,,,,,,,,,
,00:01:42,85,,,,,,,,,
,00:01:43,84,,,,,,,,,
,00:01:44,84,,,,,,,,,
,00:01:45,84,,,,,,,,,
,00:01:46,84,,,,,,,,,
,00:01:47,84,,,,,,,,,
,00:01:48,83,,,,,,,,,
,00:01:49,82,,,,,,,,,
,00:01:50,81,,,,,,,,,
,00:01:51,80,,,,,,,,,
,00:01:52,79,,,,,,,,,
,00:01:53,79,,,,,,,,,
,00:01:54,78,,,,,,,,,
,00:01:55,76,,,,,,,,,
,00:01:56,76,,,,,,,,,
,00:01:57,76,,,,,,,,,
,00:01:58,77,,,,,,,,,
,00:01:59,76,,,,,,,,,
,00:02:00,76,,,,,,,,,
,00:02:01,76,,,,,,,,,
,00:02:02,76,,,,,,,,,
,00:02:03,74,,,,,,,,,
,00:02:04,74,,,,,,,,,
,00:02:05,74,,,,,,,,,
,00:02:06,74,,,,,,,,,
,00:02:07,74,,,,,,,,,
,00:02:08,74,,,,,,,,,
,00:02:09,74,,,,,,,,,
,00:02:10,74,,,,,,,,,
,00:02:11,74,,,,,,,,,
,00:02:12,74,,,,,,,,,
,00:02:13,74,,,,,,,,,
,00:02:14,74,,,,,,,,,
,00:02:15,74,,,,,,,,,
,00:02:16,74,,,,,,,,,
,00:02:17,73,,,,,,,,,
,00:02:18,74,,,,,,,,,
,00:02:19,74,,,,,,,,,
,00:02:20,75,,,,,,,,,
,00:02:21,76,,,,,,,,,
,00:02:22,77,,,,,,,,,
,00:02:23,77,,,,,,,,,
,00:02:24,77,,,,,,,,,
,00:02:25,77,,,,,,,,,
,00:02:26,77,,,,,,,,,
,00:02:27,78,,,,,,,,,
,00:02:28,78,,,,,,,,,
,00:02:29,78,,,,,,,,,
,00:02:30,78,,,,,,,,,
,00:02:31,78,,,,,,,,,
,00:02:32,78,,,,,,,,,
,00:02:33,78,,,,,,,,,
,00:02:34,78,,,,,,,,,
,00:02:35,78,,,,,,,,,
,00:02:36,78,,,,,,,,,
,00:02:37,78,,,,,,,,,
,00:02:38,78,,,,,,,,,
,00:02:39,78,,,,,,,,,
,00:02:40,79,,,,,,,,,
,00:02:41,78,,,,,,,,,
,00:02:42,78,,,,,,,,,
,00:02:43,78,,,,,,,,,
