Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
e-lamp academic,OTHER_INDOOR,20-06-2023,22:07:09,00:03:50,,97,,,,,16,,,,,,,,,,,170.0,60.0,200,55,57,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,101,,,,,,,,,
,00:00:06,101,,,,,,,,,
,00:00:07,101,,,,,,,,,
,00:00:08,101,,,,,,,,,
,00:00:09,101,,,,,,,,,
,00:00:10,101,,,,,,,,,
,00:00:11,101,,,,,,,,,
,00:00:12,101,,,,,,,,,
,00:00:13,100,,,,,,,,,
,00:00:14,100,,,,,,,,,
,00:00:15,100,,,,,,,,,
,00:00:16,100,,,,,,,,,
,00:00:17,100,,,,,,,,,
,00:00:18,100,,,,,,,,,
,00:00:19,99,,,,,,,,,
,00:00:20,99,,,,,,,,,
,00:00:21,99,,,,,,,,,
,00:00:22,99,,,,,,,,,
,00:00:23,99,,,,,,,,,
,00:00:24,99,,,,,,,,,
,00:00:25,99,,,,,,,,,
,00:00:26,99,,,,,,,,,
,00:00:27,99,,,,,,,,,
,00:00:28,99,,,,,,,,,
,00:00:29,99,,,,,,,,,
,00:00:30,99,,,,,,,,,
,00:00:31,99,,,,,,,,,
,00:00:32,98,,,,,,,,,
,00:00:33,98,,,,,,,,,
,00:00:34,98,,,,,,,,,
,00:00:35,98,,,,,,,,,
,00:00:36,98,,,,,,,,,
,00:00:37,98,,,,,,,,,
,00:00:38,98,,,,,,,,,
,00:00:39,98,,,,,,,,,
,00:00:40,98,,,,,,,,,
,00:00:41,97,,,,,,,,,
,00:00:42,97,,,,,,,,,
,00:00:43,95,,,,,,,,,
,00:00:44,94,,,,,,,,,
,00:00:45,94,,,,,,,,,
,00:00:46,94,,,,,,,,,
,00:00:47,94,,,,,,,,,
,00:00:48,93,,,,,,,,,
,00:00:49,93,,,,,,,,,
,00:00:50,93,,,,,,,,,
,00:00:51,93,,,,,,,,,
,00:00:52,93,,,,,,,,,
,00:00:53,92,,,,,,,,,
,00:00:54,91,,,,,,,,,
,00:00:55,89,,,,,,,,,
,00:00:56,88,,,,,,,,,
,00:00:57,88,,,,,,,,,
,00:00:58,89,,,,,,,,,
,00:00:59,90,,,,,,,,,
,00:01:00,90,,,,,,,,,
,00:01:01,91,,,,,,,,,
,00:01:02,91,,,,,,,,,
,00:01:03,91,,,,,,,,,
,00:01:04,91,,,,,,,,,
,00:01:05,91,,,,,,,,,
,00:01:06,91,,,,,,,,,
,00:01:07,91,,,,,,,,,
,00:01:08,90,,,,,,,,,
,00:01:09,90,,,,,,,,,
,00:01:10,89,,,,,,,,,
,00:01:11,89,,,,,,,,,
,00:01:12,88,,,,,,,,,
,00:01:13,87,,,,,,,,,
,00:01:14,86,,,,,,,,,
,00:01:15,86,,,,,,,,,
,00:01:16,86,,,,,,,,,
,00:01:17,86,,,,,,,,,
,00:01:18,87,,,,,,,,,
,00:01:19,90,,,,,,,,,
,00:01:20,91,,,,,,,,,
,00:01:21,91,,,,,,,,,
,00:01:22,92,,,,,,,,,
,00:01:23,93,,,,,,,,,
,00:01:24,94,,,,,,,,,
,00:01:25,94,,,,,,,,,
,00:01:26,95,,,,,,,,,
,00:01:27,95,,,,,,,,,
,00:01:28,96,,,,,,,,,
,00:01:29,96,,,,,,,,,
,00:01:30,96,,,,,,,,,
,00:01:31,96,,,,,,,,,
,00:01:32,96,,,,,,,,,
,00:01:33,96,,,,,,,,,
,00:01:34,96,,,,,,,,,
,00:01:35,96,,,,,,,,,
,00:01:36,96,,,,,,,,,
,00:01:37,96,,,,,,,,,
,00:01:38,96,,,,,,,,,
,00:01:39,98,,,,,,,,,
,00:01:40,99,,,,,,,,,
,00:01:41,99,,,,,,,,,
,00:01:42,100,,,,,,,,,
,00:01:43,101,,,,,,,,,
,00:01:44,100,,,,,,,,,
,00:01:45,100,,,,,,,,,
,00:01:46,100,,,,,,,,,
,00:01:47,100,,,,,,,,,
,00:01:48,100,,,,,,,,,
,00:01:49,99,,,,,,,,,
,00:01:50,99,,,,,,,,,
,00:01:51,97,,,,,,,,,
,00:01:52,96,,,,,,,,,
,00:01:53,96,,,,,,,,,
,00:01:54,96,,,,,,,,,
,00:01:55,96,,,,,,,,,
,00:01:56,96,,,,,,,,,
,00:01:57,97,,,,,,,,,
,00:01:58,97,,,,,,,,,
,00:01:59,97,,,,,,,,,
,00:02:00,97,,,,,,,,,
,00:02:01,97,,,,,,,,,
,00:02:02,98,,,,,,,,,
,00:02:03,99,,,,,,,,,
,00:02:04,99,,,,,,,,,
,00:02:05,101,,,,,,,,,
,00:02:06,102,,,,,,,,,
,00:02:07,102,,,,,,,,,
,00:02:08,103,,,,,,,,,
,00:02:09,105,,,,,,,,,
,00:02:10,105,,,,,,,,,
,00:02:11,105,,,,,,,,,
,00:02:12,105,,,,,,,,,
,00:02:13,104,,,,,,,,,
,00:02:14,104,,,,,,,,,
,00:02:15,103,,,,,,,,,
,00:02:16,103,,,,,,,,,
,00:02:17,102,,,,,,,,,
,00:02:18,102,,,,,,,,,
,00:02:19,102,,,,,,,,,
,00:02:20,102,,,,,,,,,
,00:02:21,102,,,,,,,,,
,00:02:22,101,,,,,,,,,
,00:02:23,101,,,,,,,,,
,00:02:24,101,,,,,,,,,
,00:02:25,101,,,,,,,,,
,00:02:26,101,,,,,,,,,
,00:02:27,100,,,,,,,,,
,00:02:28,100,,,,,,,,,
,00:02:29,100,,,,,,,,,
,00:02:30,100,,,,,,,,,
,00:02:31,100,,,,,,,,,
,00:02:32,100,,,,,,,,,
,00:02:33,100,,,,,,,,,
,00:02:34,100,,,,,,,,,
,00:02:35,100,,,,,,,,,
,00:02:36,100,,,,,,,,,
,00:02:37,100,,,,,,,,,
,00:02:38,100,,,,,,,,,
,00:02:39,99,,,,,,,,,
,00:02:40,100,,,,,,,,,
,00:02:41,100,,,,,,,,,
,00:02:42,100,,,,,,,,,
,00:02:43,100,,,,,,,,,
